;0;Unnamed: 0;Unnamed: 4;aantal;beeld;omschrijving_sluit;sluit_barcode
24;;53.0;;500.0;202011726_layout_2.pdf;Rol 0054   900810000200 | labels tbv 0810000200;8720195286356.0
25;;54.0;;500.0;202011726_layout_2.pdf;Rol 0055   900810000200 | labels tbv 0810000200;8720195286356.0
26;;55.0;;500.0;202011726_layout_2.pdf;Rol 0056   900810000200 | labels tbv 0810000200;8720195286356.0
27;;56.0;;500.0;202011726_layout_2.pdf;Rol 0057   900810000200 | labels tbv 0810000200;8720195286356.0
28;;57.0;;500.0;202011726_layout_2.pdf;Rol 0058   900810000200 | labels tbv 0810000200;8720195286356.0
0;202011726_inschiet_met_rolnummer_baan_3 | 14500 etiketten;;;;;;
0;;58.0;;500.0;202011726_layout_2.pdf;Rol 0059   900810000200 | labels tbv 0810000200;8720195286356.0
1;;59.0;;500.0;202011726_layout_2.pdf;Rol 0060   900810000200 | labels tbv 0810000200;8720195286356.0
2;;60.0;;500.0;202011726_layout_2.pdf;Rol 0061   900810000200 | labels tbv 0810000200;8720195286356.0
3;;61.0;;500.0;202011726_layout_2.pdf;Rol 0062   900810000200 | labels tbv 0810000200;8720195286356.0
4;;62.0;;500.0;202011726_layout_2.pdf;Rol 0063   900810000200 | labels tbv 0810000200;8720195286356.0
5;;63.0;;500.0;202011726_layout_2.pdf;Rol 0064   900810000200 | labels tbv 0810000200;8720195286356.0
6;;64.0;;500.0;202011726_layout_2.pdf;Rol 0065   900810000200 | labels tbv 0810000200;8720195286356.0
7;;65.0;;500.0;202011726_layout_2.pdf;Rol 0066   900810000200 | labels tbv 0810000200;8720195286356.0
8;;66.0;;500.0;202011726_layout_2.pdf;Rol 0067   900810000200 | labels tbv 0810000200;8720195286356.0
9;;67.0;;500.0;202011726_layout_2.pdf;Rol 0068   900810000200 | labels tbv 0810000200;8720195286356.0
10;;68.0;;500.0;202011726_layout_3.pdf;Rol 0069   900810000300 | labels tbv 0810000300;8720195286363.0
11;;69.0;;500.0;202011726_layout_3.pdf;Rol 0070   900810000300 | labels tbv 0810000300;8720195286363.0
12;;70.0;;500.0;202011726_layout_3.pdf;Rol 0071   900810000300 | labels tbv 0810000300;8720195286363.0
13;;71.0;;500.0;202011726_layout_3.pdf;Rol 0072   900810000300 | labels tbv 0810000300;8720195286363.0
14;;72.0;;500.0;202011726_layout_3.pdf;Rol 0073   900810000300 | labels tbv 0810000300;8720195286363.0
15;;73.0;;500.0;202011726_layout_3.pdf;Rol 0074   900810000300 | labels tbv 0810000300;8720195286363.0
16;;74.0;;500.0;202011726_layout_3.pdf;Rol 0075   900810000300 | labels tbv 0810000300;8720195286363.0
17;;75.0;;500.0;202011726_layout_3.pdf;Rol 0076   900810000300 | labels tbv 0810000300;8720195286363.0
18;;76.0;;500.0;202011726_layout_3.pdf;Rol 0077   900810000300 | labels tbv 0810000300;8720195286363.0
19;;77.0;;500.0;202011726_layout_3.pdf;Rol 0078   900810000300 | labels tbv 0810000300;8720195286363.0
20;;78.0;;500.0;202011726_layout_3.pdf;Rol 0079   900810000300 | labels tbv 0810000300;8720195286363.0
21;;79.0;;500.0;202011726_layout_3.pdf;Rol 0080   900810000300 | labels tbv 0810000300;8720195286363.0
22;;80.0;;500.0;202011726_layout_3.pdf;Rol 0081   900810000300 | labels tbv 0810000300;8720195286363.0
23;;81.0;;500.0;202011726_layout_3.pdf;Rol 0082   900810000300 | labels tbv 0810000300;8720195286363.0
24;;82.0;;500.0;202011726_layout_3.pdf;Rol 0083   900810000300 | labels tbv 0810000300;8720195286363.0
25;;83.0;;500.0;202011726_layout_3.pdf;Rol 0084   900810000300 | labels tbv 0810000300;8720195286363.0
26;;84.0;;500.0;202011726_layout_3.pdf;Rol 0085   900810000300 | labels tbv 0810000300;8720195286363.0
27;;85.0;;500.0;202011726_layout_3.pdf;Rol 0086   900810000300 | labels tbv 0810000300;8720195286363.0
28;;86.0;;500.0;202011726_layout_3.pdf;Rol 0087   900810000300 | labels tbv 0810000300;8720195286363.0
0;202011726_inschiet_met_rolnummer_baan_4 | 14500 etiketten;;;;;;
0;;87.0;;500.0;202011726_layout_3.pdf;Rol 0088   900810000300 | labels tbv 0810000300;8720195286363.0
1;;88.0;;500.0;202011726_layout_3.pdf;Rol 0089   900810000300 | labels tbv 0810000300;8720195286363.0
2;;89.0;;500.0;202011726_layout_3.pdf;Rol 0090   900810000300 | labels tbv 0810000300;8720195286363.0
3;;90.0;;500.0;202011726_layout_3.pdf;Rol 0091   900810000300 | labels tbv 0810000300;8720195286363.0
4;;91.0;;500.0;202011726_layout_3.pdf;Rol 0092   900810000300 | labels tbv 0810000300;8720195286363.0
5;;92.0;;500.0;202011726_layout_3.pdf;Rol 0093   900810000300 | labels tbv 0810000300;8720195286363.0
6;;93.0;;500.0;202011726_layout_3.pdf;Rol 0094   900810000300 | labels tbv 0810000300;8720195286363.0
7;;94.0;;500.0;202011726_layout_3.pdf;Rol 0095   900810000300 | labels tbv 0810000300;8720195286363.0
8;;95.0;;500.0;202011726_layout_3.pdf;Rol 0096   900810000300 | labels tbv 0810000300;8720195286363.0
9;;96.0;;500.0;202011726_layout_3.pdf;Rol 0097   900810000300 | labels tbv 0810000300;8720195286363.0
10;;97.0;;500.0;202011726_layout_3.pdf;Rol 0098   900810000300 | labels tbv 0810000300;8720195286363.0
