;0;Code;Colorcode;Unnamed: 0;aantal;beeld
0;202011726_inschiet_baan_1 | 14500 etiketten;;;;;
0;;8720195286349.0;900810000100 | labels tbv 0810000100;0.0;500.0;202011726_layout_1.pdf
1;;8720195286349.0;900810000100 | labels tbv 0810000100;1.0;500.0;202011726_layout_1.pdf
2;;8720195286349.0;900810000100 | labels tbv 0810000100;2.0;500.0;202011726_layout_1.pdf
3;;8720195286349.0;900810000100 | labels tbv 0810000100;3.0;500.0;202011726_layout_1.pdf
4;;8720195286349.0;900810000100 | labels tbv 0810000100;4.0;500.0;202011726_layout_1.pdf
5;;8720195286349.0;900810000100 | labels tbv 0810000100;5.0;500.0;202011726_layout_1.pdf
6;;8720195286349.0;900810000100 | labels tbv 0810000100;6.0;500.0;202011726_layout_1.pdf
7;;8720195286349.0;900810000100 | labels tbv 0810000100;7.0;500.0;202011726_layout_1.pdf
8;;8720195286349.0;900810000100 | labels tbv 0810000100;8.0;500.0;202011726_layout_1.pdf
9;;8720195286349.0;900810000100 | labels tbv 0810000100;9.0;500.0;202011726_layout_1.pdf
10;;8720195286349.0;900810000100 | labels tbv 0810000100;10.0;500.0;202011726_layout_1.pdf
11;;8720195286349.0;900810000100 | labels tbv 0810000100;11.0;500.0;202011726_layout_1.pdf
12;;8720195286349.0;900810000100 | labels tbv 0810000100;12.0;500.0;202011726_layout_1.pdf
13;;8720195286349.0;900810000100 | labels tbv 0810000100;13.0;500.0;202011726_layout_1.pdf
14;;8720195286356.0;900810000200 | labels tbv 0810000200;14.0;500.0;202011726_layout_2.pdf
15;;8720195286356.0;900810000200 | labels tbv 0810000200;15.0;500.0;202011726_layout_2.pdf
16;;8720195286356.0;900810000200 | labels tbv 0810000200;16.0;500.0;202011726_layout_2.pdf
17;;8720195286356.0;900810000200 | labels tbv 0810000200;17.0;500.0;202011726_layout_2.pdf
18;;8720195286356.0;900810000200 | labels tbv 0810000200;18.0;500.0;202011726_layout_2.pdf
